ID#PUNTUACIÓN#COMENTARIO
3#4#Buena tienda con buenos precios y entregas rápidas.
4#4#Buena tienda con buenos precios y entregas rápidas.
5#5#La entrega ha sido muy rápida, el precio buenísimo. Muy satisfecho.
7#5#Envío rápido, variedad, alternativas, precios de mercado. Echo en falta ofertas.
8#5#Siempre es un placer comprar con ellos; por sus precios, formalidad, rapidez y servicio prestado pre y post- venta.
10#5#los mejores precios de internet y te llega en 24h.
12#5#Empresa con variedad de primeras marcas, ofertas y atención al cliente
13#5#Buen material, buen precio, y envío rápido.
14#5#Buena relación calidad precio, entrega de los pedidos rápido y facilidades para cambios.
15#5#Tanto lacompara como una devolución parcial del mismo han sido rápidas y sencillas.
16#5#Todo correcto! Envío rápido, buen precio y muy transparente toda la compra.
17#4#Muy buena experiencia. Les recomiendo!!
18#5#Pedidos siempre llegar a tiempo, buenos cupones descuento para comprar a buen precio.
20#5#Ha sido mi primera compra y estoy contenta, el envío ha sido muy rápido.
21#5#Los productos los he recibido muy rápido y son de la calidad que se anuncian. He tenido que devolver algún producto que no me han gustado como me quedaban y la devolución ha sido excelente. Recomendable al 100 %
22#5#Todos los pedidos entregados a tiempo y en buenas condiciones
23#5#Empresa formal, muchísima variedad, magnífica relación precio calidad y sin problemas. Rápida. Estoy contento
37#4#Un servicio muy rápido tanto en los pedidos como en devoluciones. Su pagina es agradable de mirar y gran variedad de productos deportivos. Muchos años disfrutando del deporte con ellos.
38#4#Un servicio muy rápido tanto en los pedidos como en devoluciones. Su pagina es agradable de mirar y gran variedad de productos deportivos. Muchos años disfrutando del deporte con ellos.
39#5#Gran cantidad y variedad de producto. Buena relación calidad precio y un cómodo servicio de devoluciones. Recomendable
40#5#Envío rápido, buen servicio, buenos precios y buena web
41#4#Tienen buenas ofertas en marcas de primer nivel con mucha variedad, gran stock y hasta ahora siempre los envíos se han recibido bien embalados.
43#5#Buenos productos y buen precio en general
44#5#Experiencia de compra buena y recomendable, con catálogo de productos amplio, ofertas frecuentes, web fácil y cómoda para navegar. Envíos correctos con embalaje adecuado.
45#4#Entrega rápida, variedad de artículo, buenos precios.
47#5#Buenos precios y productos. Envío rapidisimo
48#5#He comprado muchas veces y siempre sin ningún problema, sinduda seguiré comprando
49#5#Llevo comprando varios años. No he tenido problemas en los pedidos, servidos en tiempo. Los productos siempre han cumplido con lo descrito. Mi primera opción en productos deportivos.
51#5#Compro casi todo en esta web, buenos precios y rápida entrega, eficaces en la resolución de pequeños problemas que puedan surgir, buena comunicación. Las devoluciones son cómodas, económicas y con un plazo de 365 días. Altamente recomendable.
52#4#Rapidez en entrega y precios competitivos
53#5#Realice varias compras y siempre muy atentos y rapidos en los envios
54#5#Yo estoy muy contento. Compro bastante y nunca me an dado ningún problema. Si se les puede poner un pero es que son un poco más caros que otras páginas. Pero merece la pena. Por la rapidez que envían los pedidos tal y como describe en cada producto de compra.
56#5#Rápido el tiempo de entrega y buenos precios siempre
57#4#Todo correcto. En el envío se podían mejorar los tiempos. Gracias
71#5#Calidad, precio y entrega muy buenos.
72#5#Calidad, precio y entrega muy buenos.
73#5#Envíos rápidos, y excelente trato
74#5#Excelente. Me dejé aconsejar por la guía de tallas, pero aún así la prenda me quedaba grande. En diez días aproximadamente ya tenía tramitada la devolución del artículo. Rápido y gratuito.
76#4#Los pedidos llegan correctamente, no he tenido ningún problema.
77#5#Siempre una experiencia de compra perfecta y muy seria
78#1#ABANDONADO
79#1#He pedido unas new balance y son falsas. Menuda estafa
80#1#Pedí unos artículos ( Todos en stock) el día 24 con el envío 24- 48 horas, pasan tres días y me mandan un correo diciendo que por problemas de suministro ( Se supone que estaban en stock)se va a aplazar la entrega entre el 28 y el 30, llegamos al 29 y me mandan otro con la misma canción, diciendo que se aplaza del 30 al 4. Estamos a día 5, el 4 llamo al teléfono de atención al cliente y me dicen que va a llamar al almacén y que me mandará un mail diciéndome que está sucediendo y cuál es el problema. Nunca recibí ese mail, al llamar de nuevo día 5 para ver que está pasando, me dice una chica que uno de los objetos que pedí, estaba escondido en el almacén y no lo encontraban, pero que se pondrían con ello muy ágiles para mandarlo hoy, y que me llegue mañana, le digo que si eso es seguro para saber si cancelar el pedido o no,me responde que si quiere que lo cancele.( Después de esperar 12 días la solución es esa? vuelvo a mirar a las 18:00 de la tarde el pedido y sigue en preparación( eso es agilizar?), ni una disculpa, ni una resolución efectiva, desinformación totalmente al cliente y el pedido son 125 euros de artículos. Debe ser que les sobra el dinero.
81#1#CUIDADO,,!!! Ni siquiera entréis en su página..desde febrero k compre un artículo.al confirmar el pedido y a día de hoy k me entero que tengo una suscripción con ellos de 15 eur al mes..trato de darme de baja y no cogen el tlf ..ni me contestan por email..Putos..ESTAFADOREs!!!!  .Correr la voz k no les pase a otros...!!! Estafa...!!!
82#1#Devolví una silla de bici porque no me valía en mi bici. Lo justo la tuve en casa para probarla y la devolví con el paquete intacto. Me pone en la web que mi devolución está rechazada sin darme ninguna explicación y no me devuelven el dinero pero tampoco la silla de la bici que me costó casi 100 euros. Estafadores
